staff_user,staff_user_name,staff_First_name,staff_Last_name,staff_gender,staff_date_of_birth,staff_email,staff_mobile,staff_qualification,staff_blood_group,staff_image,staff_Address,staff_city,staff_pincode,staff_Religion,staff_subject,staff_medium_name,staff_class_name,staff_division_name,staff_card_number,staff_school_code,password,created_on,created_by
sinailtty@gmail.com,sinailtty@gmail.com,sunnil,None,Male,06/12/2000,sinailtty@gmail.com,8288488485,None,,images/fh57hg_GnaoaZ6.jpg,delhi,delhi,133333,,None,English,,,None,demo1,12345,2021-02-19 15:19:20.105670+00:00,None
sisssstty@gmail.com,sisssstty@gmail.com,sunnyy,None,Male,,sisssstty@gmail.com,8288487666,None,,images/gggjgj57_MryAfv1.jpg,delhi,delhi,133333,,None,English,9,,None,demo1,12345,2021-02-19 15:32:00.898677+00:00,None
minasahkumar@gmail.com,minasahkumar@gmail.com,manish kumar,None,Male,None,minasahkumar@gmail.com,3884646566,None,,,None,None,None,,None,English,9,A,None,demo1,12345,2021-02-19 15:44:02+00:00,None
jatinkkmmrr@gmail.com,jatinkkmmrr@gmail.com,jatin kumar,None,Male,None,jatinkkmmrr@gmail.com,7736564564,None,,images/fh57hg_58Fb5qe.jpg,None,None,None,,None,English,,,None,demo1,12345,2021-02-19 15:49:25+00:00,None
dineshkkmmrr@gmail.com,dineshkkmmrr@gmail.com,dinesh kumar,None,Male,,dineshkkmmrr@gmail.com,8837848588,None,None,,,,,None,None,English,None,None,None,demo1,12345,2021-02-19 15:52:57.181424+00:00,None
sanjayyyy@gmail.com,sanjayyyy@gmail.com,sanjay,None,Male,,sanjayyyy@gmail.com,8288488485,None,,,delhi,delhi,133333,,None,English,,,None,demo1,12345,2021-02-19 16:08:09.518380+00:00,None
sureshram@gmail.cok,sureshram@gmail.cok,Suresh ram,None,Male,05/01/2000,sureshram@gmail.cok,7897897896,None,None,images/16138043589714349726875545532909.jpg,sasamusa,gopalganj,841505,None,None,English,10,,None,m001,12345,2021-02-20 07:00:17.159139+00:00,None
nilmani@gmail.com,nilmani@gmail.com,Nilmani tiwari,None,Male,,nilmani@gmail.com,8768689869,None,None,,,,,None,None,English,None,None,None,m001,12345,2021-02-20 07:14:08.605964+00:00,None
laxmisharma4986@gmail.com,laxmisharma4986@gmail.com,Laxmi,None,Female,04/09/1986,laxmisharma4986@gmail.com,8076285202,M.A.Bed,,images/IMG_20210222_073716.jpg,Bhankari,Faridabad,121104,Hindu,None,English,7,A,None,s003,12345,2021-02-22 12:37:05.895220+00:00,None
sunil229938@gmail.com,sunil229938@gmail.com,sunil,None,Male,,sunil229938@gmail.com,4995995690,None,,,baderpur,delhi,112233,,None,English,,,None,demo1,12345,2021-02-24 08:50:41.422774+00:00,None
sonya@gamil.com,sonya@gamil.com,Sonya,None,Female,12/11/2011,sonya@gamil.com,965438232,None,None,,Gurgaon,Gurgaon,10002,None,None,English,U.K.G,A,2B002A7F2856,S004,12345,2021-02-24 09:18:56+00:00,None
deepak@gamil.com,deepak@gamil.com,Deepak,None,Male,12/12/2013,deepak@gamil.com,8384878981,None,None,,Shona,Gurgaon,12345,None,None,English,2,A,050050707257,S004,12345,2021-02-24 09:25:01+00:00,None
chintukaushik762@gmail.com,chintukaushik762@gmail.com,Chintu Kaushik,None,Male,10/1/1995,chintukaushik762@gmail.com,9654335687,None,None,,Gurgao,Gurgaon,1234,None,None,English,L.K.G,A,2E001DBF038F,S004,12345,2021-02-24 11:17:28+00:00,None
raj@gamil.com,raj@gamil.com,Raj,None,Male,12/12/2018,raj@gamil.com,9560206543,None,None,,Gurgaon,Gurgaon,12345,None,None,English,U.K.G,A,2E001DC208F9,S004,12345,2021-02-24 11:19:37+00:00,None
vipul@gamil.com,vipul@gamil.com,Vipul,None,Male,12/11/2019,vipul@gamil.com,9654335678,None,None,,Gurgan,Gurgaon,12345,None,None,English,U.K.G,A,2E0025932BB3,S004,12345,2021-02-24 11:21:37+00:00,None
abi@gamil.com,abi@gamil.com,Abisake,None,Male,12/12/2012,abi@gamil.com,9991446060,None,None,,Gurgaon,Gurgaon,12345,None,None,English,U.K.G,A,2E001DC4DF28,S004,12345,2021-02-24 11:24:05+00:00,None
pawan@gamil.com,pawan@gamil.com,Pawan,None,Male,11/12/2015,pawan@gamil.com,9654328563,None,None,,Gurgaon,Gurgaon,123456,None,None,English,U.K.G,A,2E0024F603FF,S004,12345,2021-02-24 11:25:49+00:00,None
kajal@gamil.com,kajal@gamil.com,Kajal,None,Female,12/11/2012,kajal@gamil.com,9653538593,None,None,,Gurgaon,Gurgaon,123456,None,None,English,U.K.G,A,5D007B3C2B31,S004,12345,2021-02-24 11:27:32+00:00,None
roji@gamil.com,roji@gamil.com,Rozi,None,Female,10.1.2014,roji@gamil.com,9838489868,None,None,,Gurgaon,Gurgaon,12345,None,None,English,U.K.G,A,2E001DA56EF8,S004,12345,2021-02-24 11:29:44+00:00,None
nitin@gamil.com,nitin@gamil.com,Nitin,None,Male,3.9.2012,nitin@gamil.com,8822993344,None,None,,Gurgaon,Gurgaon,12315,None,None,English,U.K.G,A,2B0027C5CB02,S004,12345,2021-02-24 11:31:37+00:00,None
ahshsbi@gamil.com,ahshsbi@gamil.com,Abijit,None,Male,10.10.2010,ahshsbi@gamil.com,7811335212,None,None,,Gurgaon,Gurgaon,12345,None,None,English,None,None,2B0027C864A0,S004,12345,2021-02-24 11:37:00+00:00,None
jpjpjp@gmail.com,jpjpjp@gmail.com,jp sir,None,Male,,jpjpjp@gmail.com,9949494959,None,None,,,,,None,None,English,None,None,None,demo1,12345,2021-02-28 10:16:54.610237+00:00,None
Nkaushik730@gmail.com,Nkaushik730@gmail.com,Charan Singh,None,Male,04/06/1973,Nkaushik730@gmail.com,8930631852,B.A.,,images/IMG-20210306-WA0004.jpg,Nagal brahman,Palwal,121105,Hindu,None,English,6,A,None,s003,12345,2021-03-06 04:25:42.031527+00:00,None
sachinparashar502@gmail.com,sachinparashar502@gmail.com,Sachin,None,Male,21/03/2021,sachinparashar502@gmail.com,8813054034,None,,images/_DSC8117_3_3.JPG,Aurangabad,Palwal,121105,,None,English,8,A,None,sbsy25,12345,2021-03-06 07:39:59.801548+00:00,None
mahesh15122020@gmail.com,mahesh15122020@gmail.com,Takchand,None,Male,15/12/1992,mahesh15122020@gmail.com,9992209218,None,None,images/16151678489361239914960.jpg,Baroli,Palwal,121102,None,None,English,6,A,None,s004,12345,2021-03-08 01:45:46.296765+00:00,None
krishnadthsetviced@gmail.com,krishnadthsetviced@gmail.com,Reminder,None,Male,06/12/2000,krishnadthsetviced@gmail.com,9060556565,None,None,,Baroli,Palwal,121102,None,None,English,6,A,None,sbsy27,12345,2021-03-09 14:47:00.397029+00:00,None
teacher1@gmail.com,teacher1@gmail.com,teacher1,None,Male,11/03/1991,teacher1@gmail.com,1111111111,None,None,,None,None,None,None,None,English,1,A,0500506AA29D,sbsy28,12345,2021-03-10 06:48:59+00:00,None
teacher2@gmail.com,teacher2@gmail.com,teacher2,None,Male,15/03/1991,teacher2@gmail.com,2222222222,None,None,,None,None,None,None,None,English,2,A,05005015B0F0,sbsy28,12345,2021-03-10 06:50:44+00:00,None
teacher3@gmail.com,teacher3@gmail.com,teacher3,None,Female,13/03/1990,teacher3@gmail.com,3333333333,None,None,,None,None,None,None,None,English,3,A,050050172361,sbsy28,12345,2021-03-10 06:51:30+00:00,None
teacher4@gmail.com,teacher4@gmail.com,teacher4,None,Male,13/03/1996,teacher4@gmail.com,4444444444,None,None,,None,None,None,None,None,English,4,A,0500501A652A,sbsy28,12345,2021-03-10 06:52:31+00:00,None
teacher5@gmail.com,teacher5@gmail.com,teacher5,None,Male,11/03/1989,teacher5@gmail.com,5555555555,None,None,,None,None,None,None,None,English,5,A,0500501A6A25,sbsy28,12345,2021-03-10 06:53:34+00:00,None
teacher6@gmail.com,teacher6@gmail.com,teacher6,None,Female,11/03/1980,teacher6@gmail.com,6666666666,None,None,,None,None,None,None,None,English,6,A,0500502AB7C8,sbsy28,12345,2021-03-10 06:54:19+00:00,None
teacher7@gmail.com,teacher7@gmail.com,teacher7,None,Female,11/03/1985,teacher7@gmail.com,7777777777,None,None,,None,None,None,None,None,English,7,A,0500502ABCC3,sbsy28,12345,2021-03-10 06:55:34+00:00,None
teacher8@gmail.com,teacher8@gmail.com,teacher8,None,Female,11/03/1978,teacher8@gmail.com,8888888888,None,None,,None,None,None,None,None,English,8,None,0500502AC1BE,sbsy28,12345,2021-03-10 06:56:08+00:00,None
teacher9@gmail.com,teacher9@gmail.com,teacher9,None,Female,11/03/1978,teacher9@gmail.com,9999999999,None,None,,None,None,None,None,None,English,1,A,05005015B5F5,sbsy28,12345,2021-03-10 06:56:57+00:00,None
teacher0@gmail.com,teacher0@gmail.com,teacher0,None,Female,11/03/1980,teacher0@gmail.com,0,None,None,,None,None,None,None,None,English,2,A,050052AFDB23,sbsy28,12345,2021-03-10 06:57:42+00:00,None
teacher10@gmail.com,teacher10@gmail.com,teacher10,None,Female,11/03/1980,teacher10@gmail.com,1000000000,None,None,,None,None,None,None,None,English,3,A,05005016A7E4,sbsy28,12345,2021-03-10 07:40:40+00:00,None
teacher11@gmail.com,teacher11@gmail.com,teacher11,None,Male,11/03/1978,teacher11@gmail.com,1100000000,None,None,,None,None,None,None,None,English,5,A,05005016ADEE,sbsy28,12345,2021-03-10 07:41:34+00:00,None
teacher12@gmail.com,teacher12@gmail.com,teacher12,None,Female,11/03/1973,teacher12@gmail.com,1200000000,None,None,,None,None,None,None,None,English,7,A,05005016B2F1,sbsy28,12345,2021-03-10 07:42:25+00:00,None
teacher13@gmail.com,teacher13@gmail.com,teacher13,None,Female,21/03/1991,teacher13@gmail.com,1300000000,None,None,,None,None,None,None,None,English,6,A,05005039C6AA,sbsy28,12345,2021-03-10 07:43:03+00:00,None
teacher14@gmail.com,teacher14@gmail.com,teacher14,None,Female,31/03/1991,teacher14@gmail.com,1400000000,None,None,,None,None,None,None,None,English,6,A,05005039C2AE,sbsy28,12345,2021-03-10 07:44:07+00:00,None
sumit7272@gmail.com,sumit7272@gmail.com,sumit,None,Male,15/09/2020,sumit7272@gmail.com,2929883747,None,None,images/photo_2021-02-01_15-41-53.jpg,delhi,delhi,118982,None,None,English,5,A,None,demo1,12345,2021-03-11 13:28:21.969235+00:00,None
teacher111@gmail.com,teacher111@gmail.com,teacher1,None,Male,None,teacher111@gmail.com,2773883838,None,None,,bhaghaula,palwal,220011,None,None,English,None,None,0500528317C3,sbsy29,12345,2021-03-12 07:05:10+00:00,None
teacher112@gmail.com,teacher112@gmail.com,teacher2,None,Male,None,teacher112@gmail.com,2222222999,None,None,,None,None,None,None,None,English,None,None,050052CFFB63,sbsy29,12345,2021-03-12 07:05:57+00:00,None
teacher113@gmail.com,teacher113@gmail.com,teacher3,None,Male,None,teacher113@gmail.com,2828829899,None,None,,None,None,None,None,None,English,None,None,05004FF956E5,sbsy29,12345,2021-03-12 07:06:40+00:00,None
vivek@12346gmail.com,vivek@12346gmail.com,Vivek shukla,None,Male,None,vivek@12346gmail.com,8218050760,None,None,,None,None,None,None,None,English,None,None,05005015A1E1,sbsy32,12345,2021-03-13 05:41:51+00:00,None
dcdineshchauhan@12345gmail.com,dcdineshchauhan@12345gmail.com,Dinesh kumar,None,Male,None,dcdineshchauhan@12345gmail.com,9991539601,None,None,,None,None,None,None,None,English,None,None,05004FF94BF8,sbsy32,12345,2021-03-13 05:43:25+00:00,None
rajender@12345gamil.com,rajender@12345gamil.com,Rajender singh,None,Male,None,rajender@12345gamil.com,9050008520,None,None,,None,None,None,None,None,English,None,None,05004FF951E2,sbsy32,12345,2021-03-13 05:47:15+00:00,None
poonam@123456gmail.com,poonam@123456gmail.com,Poonam chauhan,None,Female,None,poonam@123456gmail.com,9050083058,None,None,,None,None,None,None,None,English,None,None,05005015A6E6,sbsy32,12345,2021-03-13 05:55:00+00:00,None
0712kavita@gamil.com,0712kavita@gamil.com,Kavita Devi,None,Female,7/12/84,0712kavita@gamil.com,9354002020,,,images/JPEG_20210313_125146_4607550071612437859.jpg,Vill mitrol bhoot mohalla,Palwal,121102,,None,English,,,None,sbsy33,12345,2021-03-13 07:22:31.163593+00:00,None
tttttt@gmail.com,tttttt@gmail.com,teacher1,None,Male,None,tttttt@gmail.com,9729888990,None,None,,b 57 baderpur delhi,delhi,110044,None,None,English,None,None,0500528320F4,sbsy31,12345,2021-03-13 07:30:00+00:00,None
ttt22222@gmail.com,ttt22222@gmail.com,teacher2,None,Male,None,ttt22222@gmail.com,9729888990,None,None,,b 57 baderpur delhi,delhi,110044,None,None,English,None,None,050052D026A1,sbsy31,12345,2021-03-13 07:30:40+00:00,None
teach333@gmail.com,teach333@gmail.com,tescher333,None,Female,None,teach333@gmail.com,7373838383,None,None,,None,None,None,None,None,English,None,None,2E001DC208F9,sbsy31,12345,2021-03-13 10:16:19+00:00,None
nilmanio85@gmail.com,nilmanio85@gmail.com,Nilmani tiwarai,None,Male,,nilmanio85@gmail.com,9060555656,None,,images/IMG-20201016-WA0012.jpg,Hdehh,Gshd,218184,,None,English,,,None,demo1,12345,2021-03-14 08:41:10.086665+00:00,None
ddkki@gmail.com,ddkki@gmail.com,dikesh,None,Male,13/10/2020,ddkki@gmail.com,8838383939,None,None,,baderpur,delhi,110029,None,None,None,None,None,None,S004,12345,2021-03-16 10:06:08.222099+00:00,None
pradeepgupta57@gmail.com,pradeepgupta57@gmail.com,Pradeep gupta,None,Male,01/03/2009,pradeepgupta57@gmail.com,6494949774,None,None,images/_DSC81173.JPG,Shivrajpur,Barauli,564646,None,None,English,1,A,0500533F7019,sbsy36,12345,2021-03-17 07:04:43+00:00,None
ruparani6@gmail.com,ruparani6@gmail.com,Rupa rani,None,Female,01/08/2007,ruparani6@gmail.com,9898668975,None,None,images/IMG20201114223359.jpg,Mirganj,Mirganj,841438,None,None,None,None,None,050052D030B7,sbsy36,12345,2021-03-17 07:07:31+00:00,None
